Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Setiembre,Octubre,Noviembre,Diciembre,Total
1999,522.0,320.0,194.0,59.0,152.0,45.0,488.0,5317.0,4663.0,2946.0,1992.0,733.0,17431.0
2000,2122.0,539.0,272.0,242.0,55.0,13.0,102.0,1215.0,1956.0,1248.0,226.0,249.0,8239.0
2001,226.0,204.0,284.0,134.0,119.0,242.0,1355.0,4074.0,2192.0,1274.0,606.0,520.0,11230.0
2002,2033.0,298.0,606.0,392.0,134.0,278.0,1101.0,8670.0,10349.0,3819.0,2144.0,663.0,30487.0
2003,694.0,604.0,688.0,2055.0,2665.0,2769.0,4563.0,12043.0,12653.0,3810.0,1872.0,358.0,44774.0
2004,1080.0,1292.0,2847.0,828.0,171.0,1431.0,1534.0,5881.0,9806.0,4031.0,1128.0,546.0,30575.0
2005,405.0,1667.0,3067.0,831.0,712.0,621.0,3223.0,12097.0,5134.0,1754.0,768.0,596.0,30875.0
2006,1293.0,1136.0,669.0,348.0,1467.0,949.0,4134.0,10136.0,6504.0,1592.0,786.0,350.0,29364.0
2007,340.0,462.0,894.0,351.0,590.0,2917.0,4301.0,10144.0,11518.0,2913.0,1599.0,472.0,36501.0
2008,357.0,800.0,820.0,786.0,1207.0,445.0,3995.0,4305.0,6783.0,2156.0,1518.0,1852.0,25024.0
2009,970.0,356.0,1401.0,3657.0,857.0,805.0,475.0,4443.0,2346.0,2016.0,1275.0,344.0,18945.0
2010,392.0,931.0,820.0,1161.0,380.0,1022.0,2331.0,6980.0,3614.0,2530.0,2202.0,814.0,23177.0
2011,437.0,203.0,429.0,474.0,783.0,1449.0,2195.0,4493.0,6343.0,2968.0,1820.0,1430.0,23024.0
2012,1737.0,1904.0,1445.0,300.0,405.0,273.0,1032.0,3437.0,4430.0,2502.0,1263.0,745.0,19473.0
2013,2032.0,1692.0,1246.0,763.0,507.0,415.0,2260.0,5284.0,5482.0,2595.0,2056.0,874.0,25206.0
2014,865.0,1731.0,783.0,467.0,108.0,127.0,713.0,2524.0,2086.0,3044.0,911.0,756.0,14115.0
2015,697.0,485.0,1086.0,322.0,251.0,588.0,959.0,2609.0,3174.0,1567.0,755.0,330.0,12823.0
2016,720.0,447.0,409.0,812.0,334.0,787.0,3610.0,5346.0,5741.0,2588.0,1022.0,562.0,22378.0
2017,828.0,376.0,827.0,230.0,50.0,884.0,5880.0,5745.0,5483.0,2556.0,1142.0,547.0,24548.0
2018,260.0,315.0,184.0,1072.0,1181.0,773.0,2447.0,5950.0,3120.0,893.0,412.0,541.0,17148.0
2019,927.0,1091.0,723.0,197.0,113.0,1131.0,2126.0,5095.0,6112.0,3359.0,1549.0,400.0,22823.0
2020,585.0,1050.0,2942.0,3568.0,2028.0,1600.0,2726.0,7550.0,6617.0,5622.0,2810.0,836.0,37934.0
2021,279.0,602.0,711.0,663.0,931.0,803.0,4613.0,9208.0,3137.0,1737.0,893.0,1552.0,25129.0
2022,3901.0,2200.0,1148.0,243.0,545.0,388.0,1407.0,1905.0,1624.0,1089.0,1592.0,563.0,16605.0
2023,812.0,979.0,681.0,441.0,512.0,938.0,1615.0,3824.0,3330.0,3219.0,1507.0,,17858.0
